case,temp,tray spacing,dist flow,cond liq flow
Case 1,20,0.4,41.67888656,31.15924452
Case 2,20,0.41,41.6804046,31.08985485
Case 3,20,0.42,41.67978191,31.1071904
Case 4,20,0.43,41.68060805,31.07749553
Case 5,20,0.44,41.68003664,31.09637914
Case 6,20,0.45,41.68056118,31.07815254
Case 7,20,0.46,41.68013879,31.09250163
Case 8,20,0.47,41.68050214,31.08009832
Case 9,20,0.48,41.68020032,31.09032795
Case 10,20,0.49,41.680453,31.08171383
Case 11,20,0.5,41.68024161,31.08891189
Case 12,20,0.51,41.68041863,31.08288035
Case 13,20,0.52,41.68027043,31.08793079
Case 14,20,0.53,41.68039473,31.08369483
Case 15,20,0.54,41.68029074,31.0872459
Case 16,20,0.55,41.68037798,31.08426533
Case 17,20,0.56,41.68030473,31.08676829
Case 18,20,0.57,41.68036638,31.08466993
Case 19,20,0.58,41.6803147,31.08642493
Case 20,20,0.59,41.68035798,31.08495167
Case 21,20,0.6,41.68032182,31.08618245
Case 22,20,0.61,41.68032625,31.08618575
Case 23,20,0.62,41.68032912,31.08618789
Case 24,20,0.63,41.68032872,31.08618759
Case 25,20,0.64,41.68032871,31.08618758
Case 26,20,0.65,41.68032871,31.08618759
Case 27,20,0.66,41.68032871,31.08618759
Case 28,20,0.67,41.68032871,31.08618759
Case 29,20,0.68,41.68032871,31.08618759
Case 30,20,0.69,41.68032871,31.08618759
Case 31,20,0.7,41.68032871,31.08618759
Case 32,19.5,0.4,43.14854043,34.91714358
Case 33,19.5,0.41,43.14707936,34.99140643
Case 34,19.5,0.42,43.14765511,34.97567079
Case 35,19.5,0.43,43.14694633,35.00526461
Case 36,19.5,0.44,43.1474474,34.98703868
Case 37,19.5,0.45,43.14700137,35.0044177
Case 38,19.5,0.46,43.14735705,34.99096478
Case 39,19.5,0.47,43.14705914,35.00239513
Case 40,19.5,0.48,43.14730272,34.99308273
Case 41,19.5,0.49,43.14710041,35.00083343
Case 42,19.5,0.5,43.14726778,34.9944536
Case 43,19.5,0.51,43.14712958,34.9997196
Case 44,19.5,0.52,43.14724346,34.99537849
Case 45,19.5,0.53,43.14714962,34.99896207
Case 46,19.5,0.54,43.14722699,34.99600602
Case 47,19.5,0.55,43.14716317,34.99844466
Case 48,19.5,0.56,43.1472157,34.99643254
Case 49,19.5,0.57,43.14717247,34.99808978
Case 50,19.5,0.58,43.147208,34.99672273
Case 51,19.5,0.59,43.14720296,34.99671864
Case 52,19.5,0.6,43.14720002,34.99671626
Case 53,19.5,0.61,43.1472005,34.99671665
Case 54,19.5,0.62,43.1472005,34.99671665
Case 55,19.5,0.63,43.14720049,34.99671665
Case 56,19.5,0.64,43.14720049,34.99671665
Case 57,19.5,0.65,43.14720049,34.99671665
Case 58,19.5,0.66,43.14720049,34.99671665
Case 59,19.5,0.67,43.14720049,34.99671665
Case 60,19.5,0.68,43.14720049,34.99671665
Case 61,19.5,0.69,43.14720049,34.99671665
Case 62,19.5,0.7,43.14720049,34.99671665
Case 63,19,0.4,44.51607749,39.68784358
Case 64,19,0.41,44.51493416,39.75264306
Case 65,19,0.42,44.51538869,39.74002377
Case 66,19,0.43,44.51483738,39.76540675
Case 67,19,0.44,44.51521386,39.75079874
Case 68,19,0.45,44.51488044,39.76501444
Case 69,19,0.46,44.51513943,39.75442427
Case 70,19,0.47,44.51492529,39.76338329
Case 71,19,0.48,44.51509724,39.7562613
Case 72,19,0.49,44.51495654,39.76210664
Case 73,19,0.5,44.51507029,39.75738963
